"source";"target";"year_of_publication";"Erscheinungsort"
"02-0800";"02-0720";1553;"Magdeburg"
"02-0673";"02-0720";1553;"Magdeburg"
"02-0741";"02-0733";1560;"Magdeburg"
"02-0741";"02-0733";1560;"Magdeburg"
"02-0741";"02-0733";1561;"Magdeburg"
"02-0665";"02-0738";1551;"Magdeburg"
"02-0716";"02-0738";1550;"Magdeburg"
"02-0716";"02-0738";1550;"Magdeburg"
"02-0716";"02-0738";1553;"Magdeburg"
"02-0716";"02-0738";1553;"Magdeburg"
"02-0716";"02-0738";1549;"Magdeburg"
"02-0376";"02-0741";1563;"Magdeburg"
"02-0654";"02-0741";1564;"Magdeburg"
"02-0716";"02-0747";1550;"Magdeburg"
"02-0741";"02-0759";1562;"Magdeburg"
"02-0876";"02-0766";1552;"Magdeburg"
"02-0654";"02-0775";1551;"Magdeburg"
"02-0716";"02-0775";1554;"Magdeburg"
"02-0646";"02-0775";1554;"Magdeburg"
"02-0716";"02-0775";1552;"Magdeburg"
"02-0722";"02-0775";1552;"Magdeburg"
"02-0716";"02-0775";1552;"Magdeburg"
"02-0654";"02-0775";1552;"Magdeburg"
"02-0716";"02-0775";1551;"Magdeburg"
"02-0716";"02-0775";1553;"Magdeburg"
"02-0879";"02-0775";1555;"Magdeburg"
"02-0654";"02-0775";1551;"Magdeburg"
"02-1029";"02-0775";1553;"Magdeburg"
"02-0716";"02-0775";1551;"Magdeburg"
"02-0716";"02-0775";1551;"Magdeburg"
"02-0879";"02-0775";1558;"Magdeburg"
"02-0879";"02-0775";1558;"Magdeburg"
"02-0716";"02-0775";1556;"Magdeburg"
"02-0722";"02-0775";1553;"Magdeburg"
"02-0716";"02-0775";1553;"Magdeburg"
"02-0654";"02-0775";1553;"Magdeburg"
"02-0654";"02-0775";1559;"Magdeburg"
"02-0782";"02-0782";1548;"Magdeburg"
"02-0802";"02-0782";1548;"Magdeburg"
"02-0716";"02-0782";1551;"Magdeburg"
"02-0716";"02-0782";1549;"Magdeburg"
"02-0716";"02-0782";1549;"Magdeburg"
"02-0716";"02-0782";1549;"Magdeburg"
"02-0782";"02-0782";1550;"Magdeburg"
"02-0716";"02-0782";1549;"Magdeburg"
"02-0716";"02-0782";1549;"Magdeburg"
"02-0876";"02-0782";1549;"Magdeburg"
"02-0741";"02-0782";1560;"Magdeburg"
"02-0716";"02-0782";1549;"Magdeburg"
"02-0789";"02-0782";1560;"Magdeburg"
"02-1029";"02-0782";1560;"Magdeburg"
"02-0716";"02-0784";1556;"Magdeburg"
"02-1029";"02-0800";1553;"Magdeburg"
"02-0716";"02-0800";1552;"Magdeburg"
"02-0716";"02-0800";1552;"Magdeburg"
"02-0716";"02-0800";1552;"Magdeburg"
"02-0721";"02-0800";1552;"Magdeburg"
"02-0802";"02-0800";1552;"Magdeburg"
"02-0722";"02-0800";1552;"Magdeburg"
"02-0873";"02-0800";1552;"Magdeburg"
"02-0722";"02-0800";1552;"Magdeburg"
"02-0716";"02-0800";1552;"Magdeburg"
"02-0716";"02-0800";1552;"Magdeburg"
"02-0721";"02-0800";1552;"Magdeburg"
"02-0716";"02-0800";1552;"Magdeburg"
"02-1029";"02-0800";1552;"Magdeburg"
"02-0716";"02-0800";1552;"Magdeburg"
"02-0716";"02-0800";1552;"Magdeburg"
"02-0654";"02-0800";1552;"Magdeburg"
"02-0827";"02-0800";1552;"Magdeburg"
"02-0716";"02-0800";1552;"Magdeburg"
"02-0716";"02-0800";1552;"Magdeburg"
"02-0716";"02-0800";1552;"Magdeburg"
"02-0879";"02-0800";1558;"Magdeburg"
"02-0716";"02-0800";1555;"Magdeburg"
"02-0936";"02-0800";1555;"Magdeburg"
"02-0789";"02-0800";1555;"Magdeburg"
"02-0789";"02-0800";1555;"Magdeburg"
"02-0673";"02-0800";1553;"Magdeburg"
"02-0716";"02-0800";1553;"Magdeburg"
"02-0654";"02-0810";1559;"Magdeburg"
"02-0722";"02-0810";1550;"Magdeburg"
"02-0654";"02-0810";1550;"Magdeburg"
"02-0716";"02-0810";1550;"Magdeburg"
"02-0716";"02-0810";1551;"Magdeburg"
"02-0654";"02-0810";1552;"Magdeburg"
"02-0876";"02-0810";1551;"Magdeburg"
"02-0716";"02-0810";1551;"Magdeburg"
"02-0741";"02-0830";1564;"Magdeburg"
"02-0716";"02-0838";1553;"Magdeburg"
"02-0879";"02-0838";1558;"Magdeburg"
"02-0716";"02-0838";1554;"Magdeburg"
"02-0716";"02-0838";1553;"Magdeburg"
"02-0876";"02-0848";1553;"Magdeburg"
"02-0665";"02-0856";1551;"Magdeburg"
"02-0789";"02-0872";1558;"Magdeburg"
"02-0716";"02-0872";1557;"Magdeburg"
"02-0789";"02-0872";1557;"Magdeburg"
"02-0789";"02-0872";1559;"Magdeburg"
"02-0654";"02-0879";1564;"Magdeburg"
"02-0654";"02-0886";1549;"Magdeburg"
"02-0716";"02-0935";1555;"Magdeburg"
"02-0936";"02-0935";1555;"Magdeburg"
"02-0690";"02-0681";1549;"Mainz"
"02-0738";"02-0716";1552;"Mainz"
"02-0934";"02-0716";1555;"Mainz"
"02-0811";"02-0716";1555;"Mainz"
"02-0802";"02-0714";1574;"Mansfeld"
"02-0749";"02-0785";1574;"Mansfeld"
"02-0845";"02-0785";1573;"Mansfeld"
"02-0845";"02-0820";1573;"Mansfeld"
"02-0733";"02-0733";1564;"Mühlhausen/Elsaß"
"02-0840";"02-0733";1564;"Mühlhausen/Elsaß"
"02-0733";"02-0840";1564;"Mühlhausen/Elsaß"
"02-0840";"02-0840";1564;"Mühlhausen/Elsaß"
"02-0716";"02-0852";1562;"Mühlhausen/Elsaß"
"02-0755";"02-0775";1562;"Mühlhausen/Elsaß"
"02-0716";"02-0775";1562;"Mühlhausen/Elsaß"
"02-0879";"02-0775";1562;"Mühlhausen/Elsaß"
"02-0791";"02-0775";1562;"Mühlhausen/Elsaß"
"02-0879";"02-0838";1562;"Mühlhausen/Elsaß"
"02-0755";"02-0838";1562;"Mühlhausen/Elsaß"
"02-0879";"02-0848";1562;"Mühlhausen/Elsaß"
"02-0755";"02-0848";1562;"Mühlhausen/Elsaß"
"02-0650";"02-0678";1556;"Neubrandenburg"
"02-0650";"02-0681";1556;"Neubrandenburg"
"02-0650";"02-0766";1556;"Neubrandenburg"
"02-0665";"02-0841";1579;"Neustadt a.d. Hardt"
"02-0741";"02-0644";1567;"Nürnberg"
"02-0741";"02-0655";1579;"Nürnberg"
"02-0691";"02-0655";1579;"Nürnberg"
"02-0879";"02-0655";1579;"Nürnberg"
"02-0758";"02-0655";1579;"Nürnberg"
"02-0741";"02-0681";1567;"Nürnberg"
"02-0716";"02-0720";1554;"Nürnberg"
"02-0782";"02-0800";1552;"Nürnberg"
"02-0848";"02-0800";1553;"Nürnberg"
"02-0827";"02-0800";1551;"Nürnberg"
"02-0827";"02-0800";1555;"Nürnberg"
"02-0829";"02-0800";1555;"Nürnberg"
"02-0716";"02-0800";1554;"Nürnberg"
"02-0716";"02-0838";1557;"Nürnberg"
"02-0716";"02-0838";1556;"Nürnberg"
"02-0716";"02-0838";1555;"Nürnberg"
"02-0716";"02-0838";1555;"Nürnberg"
"02-0791";"02-0595";1565;"Oberursel/Taunus"
"02-0716";"02-0879";1572;"Oberursel/Taunus"
"02-0716";"02-0879";1572;"Oberursel/Taunus"
"02-0845";"02-0655";1576;"Oberursel/Taunus"
"02-0716";"02-0655";1573;"Oberursel/Taunus"
"02-0716";"02-0666";1566;"Oberursel/Taunus"
"02-0716";"02-0681";1567;"Oberursel/Taunus"
"02-0876";"02-0681";1557;"Oberursel/Taunus"
"02-0876";"02-0681";1558;"Oberursel/Taunus"
"02-0876";"02-0681";1555;"Oberursel/Taunus"
"02-0757";"02-0733";1565;"Oberursel/Taunus"
"02-0716";"02-0741";1573;"Oberursel/Taunus"
"02-0876";"02-0766";1557;"Oberursel/Taunus"
"02-0716";"02-0767";1568;"Oberursel/Taunus"
"02-0716";"02-0791";1572;"Oberursel/Taunus"
"02-0716";"02-0798";1564;"Oberursel/Taunus"
"02-0876";"02-0817";1555;"Oberursel/Taunus"
"02-0716";"02-0852";1567;"Oberursel/Taunus"
"02-0722";"02-0647";1554;"Regensburg"
"02-0722";"02-0681";1560;"Regensburg"
"02-0876";"02-0681";1558;"Regensburg"
"02-0722";"02-0742";1562;"Regensburg"
"02-0658";"02-0749";1575;"Regensburg"
"02-0722";"02-0775";1562;"Regensburg"
"02-0716";"02-0775";1562;"Regensburg"
"02-0722";"02-0775";1562;"Regensburg"
"02-0722";"02-0775";1554;"Regensburg"
"02-0722";"02-0775";1560;"Regensburg"
"02-0873";"02-0775";1562;"Regensburg"
"02-0722";"02-0775";1568;"Regensburg"
"02-0873";"02-0775";1568;"Regensburg"
"02-0722";"02-0778";1562;"Regensburg"
"02-0722";"02-0782";1562;"Regensburg"
"02-0722";"02-0782";1560;"Regensburg"
"02-0782";"02-0782";1560;"Regensburg"
"02-0722";"02-0782";1560;"Regensburg"
"02-0722";"02-0800";1562;"Regensburg"
"02-0722";"02-0800";1554;"Regensburg"
"02-0722";"02-0848";1561;"Regensburg"
"02-0826";"02-0848";1562;"Regensburg"
"02-0879";"02-0851";1562;"Regensburg"
"02-0716";"02-0851";1562;"Regensburg"
"02-0716";"02-0852";1563;"Regensburg"
"02-0716";"02-0852";1563;"Regensburg"
"02-0716";"02-0862";1563;"Regensburg"
"02-0779";"02-0890";1575;"Regensburg"
"02-0721";"02-0975";1564;"Regensburg"
"02-0483";"02-0800";1554;"Rostock"
"02-0390";"02-0354";1579;"s.l."
"02-0650";"02-0647";1548;"s.l."
"02-0650";"02-0647";1548;"s.l."
"02-0716";"02-0655";1574;"s.l."
"02-0961";"02-0655";1574;"s.l."
"02-0481";"02-0655";1578;"s.l."
"02-0802";"02-0655";1578;"s.l."
"02-0999";"02-0655";1578;"s.l."
"02-0802";"02-0655";1578;"s.l."
"02-0802";"02-0685";1578;"s.l."
"02-0854";"02-0714";1569;"s.l."
"02-0838";"02-0716";1559;"s.l."
"02-0716";"02-0720";1555;"s.l."
"02-0838";"02-0722";1562;"s.l."
