"m.id","n.id"
"02-0793","01-1183"
"02-0782","01-1185"
"02-0681","01-1187"
"02-0666","01-1188"
"02-0678","01-1189"
"02-0716","01-1190"
"02-0820","01-1192"
"02-0061","01-1193"
"02-0782","01-1194"
"02-0741","01-1194"
"02-0716","01-1195"
"02-0741","01-1196"
"02-0841","01-1199"
"02-0716","01-1200"
"02-0793","01-1201"
"02-0733","01-1201"
"02-0061","01-1202"
"02-0879","01-1203"
"02-0820","01-1204"
"02-0791","01-1205"
"02-0732","01-1206"
"02-0848","01-1207"
"02-0820","01-1208"
"02-0716","01-1210"
"02-0755","01-1210"
"02-0722","01-1210"
"02-0879","01-1210"
"02-0847","01-1211"
"02-0775","01-1212"
"02-0673","01-1213"
"02-0852","01-1214"
"02-0716","01-1214"
"02-0673","01-1215"
"02-0820","01-1216"
"02-0862","01-1217"
"02-0798","01-1217"
"02-0716","01-1218"
"02-0770","01-1219"
"02-0793","01-1220"
"02-0785","01-1221"
"02-0879","01-1222"
"02-0775","01-1223"
"02-0820","01-1224"
"02-0804","01-1225"
"02-0879","01-1226"
"02-0655","01-1227"
"02-0512","01-1228"
"02-0673","01-1229"
"02-0655","01-1230"
"02-0655","01-1231"
"02-0673","01-1232"
"02-0706","01-1233"
"02-0851","01-1233"
